epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.003463187487795949,0.03303450718522072,0.058848850429058075,0.0008054868085309863,0.021140793338418007,0.028381098061800003
1,0.000787917640991509,0.017925910651683807,0.0280698724091053,0.0005297655588947237,0.017132006585597992,0.023016635328531265
2,0.0005830582231283188,0.015727071091532707,0.02414659783244133,0.0007517445483244956,0.021519575268030167,0.02741795964539051
3,0.0005798846832476556,0.01575033739209175,0.024080796167254448,0.0007200174732133746,0.02063584513962269,0.02683314122259617
4,0.000493290601298213,0.014230658300220966,0.022210143506526947,0.0005365100223571062,0.018243832513689995,0.023162685334682465
5,0.0006133895949460566,0.016826676204800606,0.024766700342297554,0.0020337700843811035,0.03964235261082649,0.045097339898347855
6,0.0005118349217809737,0.015216606669127941,0.022623760625720024,0.0006338100647553802,0.020211150869727135,0.025175582617521286
7,0.0006489058141596615,0.017062805593013763,0.02547362633049488,0.0005378092755563557,0.018000831827521324,0.023190714418888092
8,0.0005294469301588833,0.015515892766416073,0.023009706288576126,0.00046636202023364604,0.01616556942462921,0.021595416590571404
9,0.0005714305443689227,0.016190407797694206,0.023904606699943542,0.0004752868553623557,0.01637217029929161,0.02180107682943344
10,0.0005733785219490528,0.0157269686460495,0.02394532412290573,0.0005942158750258386,0.01967065967619419,0.02437654323875904
11,0.0005751994904130697,0.016004804521799088,0.023983310908079147,0.00048062248970381916,0.016179895028471947,0.02192310243844986
12,0.0006839181296527386,0.01692177914083004,0.026151832193136215,0.0007184437126852572,0.02199653536081314,0.02680380269885063
13,0.0005682649207301438,0.015701288357377052,0.023838311433792114,0.0005802771775051951,0.019189685583114624,0.024088943377137184
14,0.0005088267498649657,0.015252426266670227,0.02255719155073166,0.003068787744268775,0.05109134688973427,0.05539663881063461
15,0.0005994891980662942,0.01585332304239273,0.02448446676135063,0.0005869520246051252,0.018483955413103104,0.024227092042565346
16,0.0005196877173148096,0.015142575837671757,0.022796660661697388,0.0007794542470946908,0.02350088208913803,0.027918707579374313
17,0.0005387443234212697,0.015213629230856895,0.023210875689983368,0.0005091116181574762,0.016593890264630318,0.022563498467206955
18,0.0005442712572403252,0.015664808452129364,0.02332962118089199,0.0005006328574381769,0.017268357798457146,0.022374827414751053
19,0.0005240475293248892,0.015330454334616661,0.022892078384757042,0.0005428240401670337,0.01816730387508869,0.023298583924770355
20,0.0005762339569628239,0.01601162925362587,0.024004876613616943,0.0007703646551817656,0.022356200963258743,0.02775544486939907
21,0.0005172109813429415,0.015325929969549179,0.022742273285984993,0.0017736185109242797,0.036480873823165894,0.04211435094475746
22,0.0004947111010551453,0.01441448088735342,0.02224211022257805,0.0005062088021077216,0.016721516847610474,0.02249908447265625
23,0.00048134353710338473,0.014618799090385437,0.021939540281891823,0.0009263494866900146,0.026059459894895554,0.030435990542173386
24,0.0004989050212316215,0.014351144433021545,0.022336171939969063,0.0016728134360164404,0.03641689568758011,0.04090004041790962
25,0.000526445044670254,0.015231921337544918,0.022944379597902298,0.0005405783304013312,0.018255917355418205,0.023250341415405273
26,0.0005346037214621902,0.015018449164927006,0.023121505975723267,0.0007429704419337213,0.02110876515507698,0.027257483452558517
27,0.0005483974819071591,0.015400288626551628,0.023417893797159195,0.00045819327351637185,0.01574363000690937,0.021405449137091637
28,0.0004334064433351159,0.013830769807100296,0.02081841230392456,0.00047050302964635193,0.016090163961052895,0.021691080182790756
29,0.0004426508385222405,0.013908159919083118,0.021039273589849472,0.0007142305257730186,0.022091489285230637,0.02672509104013443
30,0.00048191548557952046,0.014355214312672615,0.02195257507264614,0.0006062553147785366,0.019748972728848457,0.024622250348329544
31,0.00048756267642602324,0.014298020862042904,0.02208082191646099,0.0004626614972949028,0.015811428427696228,0.0215095654129982
32,0.0004999543889425695,0.014436446130275726,0.022359665483236313,0.00046832815860398114,0.01621328480541706,0.021640891209244728
33,0.00048249601968564093,0.014059057459235191,0.021965788677334785,0.0005003476981073618,0.016617942601442337,0.022368451580405235
34,0.0004887155955657363,0.014440531842410564,0.02210691198706627,0.00045715534361079335,0.01575072482228279,0.021381190046668053
35,0.00048453654744662344,0.014378299936652184,0.02201218344271183,0.0005078085232526064,0.017394457012414932,0.022534608840942383
36,0.00043557779281400144,0.013443105854094028,0.020870499312877655,0.000453330809250474,0.015604962594807148,0.021291565150022507
37,0.0005499225226230919,0.014935084618628025,0.02345043234527111,0.0004912163130939007,0.01649087481200695,0.022163400426506996
38,0.000445191835751757,0.013632799498736858,0.021099571138620377,0.0004567208234220743,0.015697408467531204,0.02137102745473385
39,0.0004742331802845001,0.014129930175840855,0.021776892244815826,0.0011769550619646907,0.029582267627120018,0.03430677950382233
40,0.0005485492874868214,0.014801383949816227,0.02342112734913826,0.0004745800979435444,0.016285749152302742,0.021784858778119087
41,0.000447359518148005,0.013832325115799904,0.021150875836610794,0.00047157335211522877,0.01600024290382862,0.021715739741921425
42,0.00044849596451967955,0.013704860582947731,0.02117772214114666,0.0006048818468116224,0.019672872498631477,0.024594346061348915
43,0.00045637768926098943,0.014058856293559074,0.021362999454140663,0.00052209896966815,0.017679840326309204,0.02284948341548443
